CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Qc,WD-DS,E,D4,60,80,4,98,1,1,C,1.570000052,,3,2.420000076,100,38.5,6.300000191,0,0,0,2,0.100000001,8,3,0,6
Qc,WD-DS,E,D5,80,100,4,98,1,1,C,1.50999999,,3,2.400000095,100,39,6.349999905,0,0,0,2,0.100000001,7,3,0,7
Ex,WD-E,W,D1,0,20,28,46,32,22,M,1.220000029,,14,15.90999985,96,63.75,7.119999886,50,1,0.379999995,16.67000008,1.700000048,10.06999969,23.79999924,0,1
Ex,WD-E,W,D2,20,40,28,42,33,25,M,1.269999981,,13,21.02000046,100,62.5,7.5,110,1,0.159999996,11.80000019,1.100000024,10,29,0,1
Ex,WD-E,W,D3,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ex,WD-E,W,D4,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
Ex,WD-E,W,D5,-7,-7,-7,-7,-7,-7,-7,-7,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
F,WD-F,W,D1,0,20,2,42,17,41,F,1.24000001,,8,7.75,13,7.25,4.880000114,0,0,0,14.48999977,1.200000048,13,6,21,2
F,WD-F,W,D2,20,40,3,39,15,46,F,1.269999981,,7,5.639999866,12,6.5,4.900000095,0,0,0,8.56000042,0.75,11.25,5,23,2
F,WD-F,W,D3,40,60,4,37,14,49,F,1.25999999,,7,4.599999905,11,6.75,4.920000076,0,0,0,5.449999809,0.560000002,10.22999954,4,24,3
F,WD-F,W,D4,60,80,4,36,15,49,F,1.25,,7,4.070000172,11,7,5,0,0,0,4.099999905,0.5,9.68999958,3.25,27,3
F,WD-F,W,D5,80,100,4,36,15,49,F,1.269999981,,6,3.880000114,11,7,5.090000153,0,0,0,3.299999952,0.400000006,9.300000191,3,28,3
Fa,WD-Fa,W,D1,0,20,1,28,19,53,F,1.110000014,,6,5.300000191,16,2.049999952,4.820000172,0,0,0,17.77000046,1.299999952,13.72000027,2,35,2
Fa,WD-Fa,W,D2,20,40,1,26,18,56,F,1.149999976,,5,3.359999895,12,3,4.900000095,0,0,0,10.22999954,0.899999976,11.25,1.879999995,40,2
Fa,WD-Fa,W,D3,40,60,1,26,18,56,F,1.120000005,,5,2.400000095,12,3,5.150000095,0,0,0,7.400000095,0.699999988,10.76000023,1.399999976,52,3
Fa,WD-Fa,W,D4,60,80,1,25,18,57,F,1.110000014,,6,1.799999952,12,3,5.199999809,0,0,0,5.150000095,0.5,9.590000153,1,27,3
Fa,WD-Fa,W,D5,80,100,4,25,19,56,F,1.019999981,,6,1.799999952,14,5,5.099999905,0,0,0,4.650000095,0.5,9.270000458,1,28,2
Fh,WD-Fh,W,D1,0,20,1,31,19,50,F,1.110000014,,10,12.10000038,9,5.900000095,4.800000191,0,0,0,30,1.850000024,15.35999966,11.72999954,20,2
Fh,WD-Fh,W,D2,20,40,1,30,18,52,F,1.159999967,,10,9.399999619,6,6,4.909999847,0,0,0,18.42000008,1.200000048,14.55000019,7.5,24,2
Fh,WD-Fh,W,D3,40,60,15,29,17,54,F,1.139999986,,8,8.270000458,10,7.050000191,5,0,0,0,12.31000042,0.800000012,13.75,5.099999905,45,3
Fh,WD-Fh,W,D4,60,80,1,30,17,53,F,1.149999976,,9,6.849999905,7,7,5.03000021,0,0,0,8.75,0.620000005,13.52000046,4.599999905,44,3
Fh,WD-Fh,W,D5,80,100,3,30,17,53,F,1.169999957,,8,5.949999809,13,6,5.150000095,0,0,0,7.150000095,0.550000012,13.5,4,65,3
Fo,WD-Fo,W,D1,0,20,3,45,17,38,F,1.320000052,,8,7.599999905,11,8,4.880000114,0,0,0,13.77000046,1.139999986,12.52000046,7,18,2
Fo,WD-Fo,W,D2,20,40,4,41,16,43,F,1.399999976,,6,5.699999809,8,6.5,4.900000095,0,0,0,7.5,0.699999988,11.14000034,5.320000172,21,3
Fo,WD-Fo,W,D3,40,60,4,39,16,45,F,1.379999995,,6,4.699999809,8,7,5,0,0,0,5.699999809,0.560000002,10,5,24,3
Fo,WD-Fo,W,D4,60,80,4,38,16,46,F,1.389999986,,6,4.300000191,10,7,5.099999905,0,0,0,4,0.5,9.68999958,4.119999886,27,3
Fo,WD-Fo,W,D5,80,100,4,38,16,46,F,1.399999976,,5,4.090000153,10,7,5.110000134,0,0,0,3,0.400000006,9.170000076,3.5,27,4
Fp,WD-Fp,M,D1,0,20,30,47,16,37,F,1.24000001,,8,7.400000095,32,6.25,4.929999828,0,0,0,14.69999981,1.120000005,12.43000031,6,21,2
